,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_7,Cov_8,Cov_9,Cov_10,Cov_16,Cov_42,Cov_43,Cov_44,Cov_48,Cov_49,Cov_50,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,C_0,C_1,C_2,C_3,C_4,C_5,C_7,C_8,C_9,C_10,C_16,C_42,C_43,C_44,C_48,C_49,C_50,C_57,C_58,C_59,C_60,C_61,C_62,C_66,C_67,C_68,C_69,C_70,Mean,Std
16,9.55779870914242,10.5024710689537,11.3031922134956,12.9264309682102,14.8843383453502,16.7665990057207,18.7565124472366,20.5571475929993,22.6184315253091,23.1565744461543,23.4973072192926,21.0520078446371,21.2062036671941,18.3645892748835,15.2613002932078,14.0518040629397,12.4445715989503,11.8972906162891,13.5262678652211,16.2312294630961,15.8455902330613,14.4654339559702,12.9415252503568,11.4657079298041,10.4092267365394,9.74220716190827,9.71863401154527,10.0181291912385,-0.1692264329524714,0.22266103564904055,-0.0049444957986845665,-0.06053685473147762,-0.09848669022523236,-0.02422483420190384,0.10083293982596915,-0.015421454926946153,-0.00225858471518339,-0.7856819105113934,1.4834632757629196,-0.26357365048636316,-0.24556723750289786,-0.06985018979236879,-0.02005498863832159,0.09878588348619287,-0.17526149542924857,0.03868348867085761,0.11111986589183466,0.38308974484834185,-0.660827121361348,-0.09345999568107266,0.0008952593903912407,0.1809170598472799,0.044880278819221596,0.026104772474649925,0.006062958398713232,0.01109081147971921,-0.6198668714797748,4.846370520223627
42,8.7570604850417,8.99473780879809,8.35924883181138,8.08225827177768,8.03621807641773,7.90322725717145,7.85638637228001,9.64445089739907,13.0080218345128,16.131067415403,21.0520078446371,27.7286262858249,28.540878395677,25.2640231089858,21.6882660481415,18.6398106527941,15.1586873077393,13.0212338791055,14.2803788868633,16.8635155644738,16.0937119805447,16.0254731512545,15.9903190996019,15.999421884127,15.437904721055,14.8013749994131,14.8355381661268,15.0007013445418,-0.28534622629524536,0.13558513616127923,0.04681455329035824,0.04178776845069076,0.08010975414994462,0.0630209728811992,0.12746473551543916,-0.14250661320806288,-0.11917924121269749,0.01774397669442152,-0.26395474975433286,1.3960225418712928,-0.9489608065987316,-0.3797303314011772,0.22832514122526315,0.08896540139024502,0.2019122885513799,0.04136574691935822,-0.16163451450365743,-0.11291831629594382,0.2998059457163868,0.0022451922795832784,-0.026279186512850033,-0.12251259627095809,-0.06029500765321852,0.05866453789571799,-0.000604937353835453,-0.04290950655095537,-1.864093701996928,5.264848173102897
43,6.35089511514882,7.73587733894601,6.60032016296819,5.87160976698275,5.46596889909126,5.01576234779503,4.75584144785623,6.21811051801027,10.1485562435207,14.3610881144957,21.2062036671941,28.540878395677,32.7264907483477,32.2285269441185,31.42892967055,28.0203398994569,21.3879379907001,16.25961557306,16.1515984492131,17.9563384162408,16.3677293115,15.1494832984441,14.2452603713698,13.3737592769644,13.4543312420094,13.6399725815869,14.251874631466,15.0000224040079,0.22142390057575573,-0.2071608057068918,-0.00024323209056801488,0.02625569164245006,-0.006065975350668984,-0.043147851980078936,-0.1204348357479384,0.15797956560347326,0.061182500297224635,0.07183252360325829,-0.24574959404187166,-0.9488863654994019,2.193447058417442,-1.538653136020758,0.44565141301096,0.04527022738323318,-0.17991119425208757,-0.005535037239075522,0.02799703750150759,-0.09243593311373678,0.07541765337270873,0.02444440592252788,0.020153617833825084,0.03995770200480375,-0.008795171617242557,-0.0576513211064981,-0.015478095066835337,-0.013268687337078497,-1.6180957035795747,5.719833104938262
44,3.60361194172438,5.68017125618688,4.15047056196395,3.00921826974329,2.27969765143581,1.55421991359554,1.08275674932586,2.20417696106396,6.00914927795592,10.5320428010006,18.3645892748835,25.2640231089858,32.2285269441185,35.6924010162756,38.7375354211039,35.4319059138474,25.4134822063726,16.9890537293473,15.3777313296413,16.1626165283419,14.1672678607251,12.129490368464,10.6297274101038,9.15103700819282,9.88560260581133,10.8206545356711,11.7524428819284,12.8231413811867,0.08890474130128972,-0.028779260107719744,-0.019299342781729963,-0.01102509033341331,-0.02875007646357512,-0.06348168275809374,-0.021703019592452372,0.06629880495356723,0.057207804106323625,0.03657829274323178,-0.06982936448495375,-0.3807685605065204,-1.5396829224264919,4.085194732005835,-1.9570821904977054,-0.1801204841500019,-0.0020865157857630334,-0.0038671703345765193,0.08640976797690837,-0.1706107114880857,0.006111742382259568,0.02763888965600656,0.005581032240446676,-0.011822819773832132,0.003589335264639023,0.015185950042642988,-0.0029454191435164235,-0.015546298888740403,-1.740377275054694,5.973474785773818
48,0.569787502393437,3.36223304726536,1.46575929778519,-0.0584162731163601,-1.0861151146097,-2.06265184635356,-2.71972264234356,-1.91528791382492,1.72682247548454,6.53049081287673,15.2613002932078,21.6882660481415,31.42892967055,38.7375354211039,45.7139757299288,42.5576400864889,29.1393622080005,17.2756193761741,14.0020133360623,13.6186301929969,11.2793489975484,8.49841092864054,6.48094337708213,4.47275600981206,5.97311982542718,7.7698266694155,9.10296920035834,10.5768992051867,0.11866408869277992,0.04218764985786336,-0.056155116998414516,-0.035813357040125345,-0.07734671394266414,-0.056699804015043626,0.03353600975681388,0.018598722674535436,0.02375871242960232,0.08860489466618429,-0.020579661535541333,0.2280618022700707,0.44653078295652593,-1.9547879816666311,1.8367054426679519,-0.5601862875852035,-0.02455451172223636,-0.07139955678891761,0.089025575500132,0.06757402301201623,-0.007828789814435607,0.010618540941735635,-0.016729130212521745,-0.08418732396150981,0.007887403377635924,0.05467783737851999,0.0066714720417027805,0.003493176268157197,-1.9002932551319647,6.7604715612099735
49,2.20656118887684,4.43942519573414,2.30719685364922,0.703433630157824,-0.506203994239565,-1.61019335656433,-2.24888180455337,-1.27073685723129,2.01387182997678,6.35439141203272,14.0518040629397,18.6398106527941,28.0203398994569,35.4319059138474,42.5576400864889,41.6526555128761,29.0531396945277,17.7824474083815,14.5823062498938,13.6764575010196,11.2120666331712,8.01085121773042,5.52640341265322,3.04216089396707,4.63436774036902,6.43601929539665,7.71234829391528,9.1905882480266,-0.1718851302640898,-0.037399554264404805,0.04308855262866673,0.08246893152385328,0.10075787997681933,0.04648799473773607,-0.023429183780052192,-0.054792202406708776,-0.03595003093635583,-0.08092046055944646,0.09868057199974602,0.08832174307233873,0.044666470641345976,-0.18047676443749486,-0.5600735745925557,1.345975604946077,-1.1257518828948752,0.5005618158111307,0.04346901256614796,-0.11496456832705303,-0.032838673137912396,-0.0072125573688969985,0.022930155304525933,0.07627772822094539,0.033036621089707556,-0.030684755016847143,-0.011897628893813721,-0.024904975944990918,-0.39958106409719324,6.453112079677222
50,2.64012659771508,4.01450533634973,2.28948096697529,1.0724413601994,0.0675241840386052,-0.849380118088648,-1.17312518172505,0.0090598537590784,3.07714213932449,6.70351591089707,12.4445715989503,15.1586873077393,21.3879379907001,25.4134822063726,29.1393622080005,29.0531396945277,24.2526326278727,20.6110386996224,19.2570991522079,18.7952128109527,16.397363760834,13.1769583499073,10.4763196012141,7.77943261857545,7.76780518678843,7.58832781105625,7.41768284174496,7.44360888209284,-0.019317456208955322,-0.03916448930661313,0.02025733383571171,0.026396278278990458,0.05256824872661491,0.11189397346201056,0.02518871638795663,-0.07269088744439257,-0.05238076457686709,0.027119269222024133,-0.17656612478385275,0.20361734015500396,-0.1781348086366803,-0.003762177263150398,-0.024389729036921354,-1.1259302199924155,2.5813580638080516,-1.1221368405536523,-0.36689140442794776,0.3510378820279415,0.016148108598523742,-0.01098060947564889,0.0328613138352614,0.10095121292516379,-0.05194852560406053,-0.17516333097176284,-0.016705509147729305,0.07527865910236377,-0.1934925289763999,4.92368080077016
57,4.26194970229156,4.78502348516397,3.31920676695217,2.3461545690092,1.42067073126191,0.576655113710783,0.447090646491043,1.66235728907008,4.70005029079162,7.75331635094894,11.8972906162891,13.0212338791055,16.25961557306,16.9890537293473,17.2756193761741,17.7824474083815,20.6110386996224,25.3950999561115,26.5312690049588,27.174678566953,24.505979856093,20.9238756728657,17.6608077579777,14.4056458932551,12.2982771905201,9.67906747231332,7.77271450214453,6.05794994142689,0.009044641175689884,-0.07712936612128755,0.04357961539095585,-0.0197360031214423,0.021802217953525348,0.07246372704026059,0.02770793503532001,-0.0362127660127453,0.01146931552153858,-0.0727884524352534,0.03946780015036951,0.04158346939292372,-0.006687809197082517,-0.004256018506569403,-0.070955224119304,0.5007207751078216,-1.1222196952736179,1.4076975503180174,-0.4911692532135347,-0.17436055087069738,-0.03833323063860564,0.021068287589943138,0.03411881204239612,0.036414347267167434,-0.05116135257220296,-0.00015970340562733933,0.024302654560592253,-0.003869154574212625,0.17388632872503848,5.038362824977124
58,6.29539436640119,6.28604005934792,5.15190333003524,4.52883504800766,3.96290731980675,3.45419345294264,3.6219239321816,4.62542167190839,7.44914197667309,9.95378877605867,13.5262678652211,14.2803788868633,16.1515984492131,15.3777313296413,14.0020133360623,14.5823062498938,19.2570991522079,26.5312690049588,30.2437793731951,32.1307355093993,29.4486074551946,25.8865612250788,22.4696420355777,19.0621787415647,15.8110602329251,12.1647910833972,9.53349894344794,7.11007385051872,-0.023310908668077508,0.0679994843204372,-0.009087204483649663,-0.005439309345261652,-0.027386313242704165,-0.03428314255042039,-0.08248517226035483,-0.01581015067281904,0.1063426770947334,0.02068421702746369,0.11102461561332207,-0.16221189805689323,0.02712234821522798,0.08699712943016213,0.08863381761248763,0.043475433053597586,-0.36657952919088477,-0.49120634474049013,1.5270322401648804,-0.6932665427998878,-0.16452156757978345,-0.015178073534203003,-0.024129838907860128,-0.03509441266962671,0.0342301006195344,0.15572129114758892,0.017103245954988366,-0.08259809986473438,0.8567413769026672,5.49852519983269
59,8.64414831750545,8.67459883242695,7.65197229486773,7.01803249808927,6.5110559640424,5.99808442684897,6.0832331722867,7.13424776957749,10.3680590231865,12.8193809477174,16.2312294630961,16.8635155644738,17.9563384162408,16.1626165283419,13.6186301929969,13.6764575010196,18.7952128109527,27.174678566953,32.1307355093993,36.100747530263,33.9825384510879,30.9633033372041,27.895879299657,24.8452763754458,20.7514313789092,16.2771162171635,12.6807741706894,9.24850058807226,0.029135409917423156,-0.0015081530583913624,-0.03156737873792268,-0.021528143970687405,-0.012839752827016254,0.0012475880914463804,-0.0018433905216125297,0.04147037031582318,-0.12029371786910534,-0.1073833529832417,0.3834729978143256,-0.11246499115331442,-0.09059854435291992,-0.16948258184724474,0.06818735492514018,-0.1134203081816283,0.35065509036398346,-0.1738763247610098,-0.6932947813351292,1.8139367286767578,-1.1345320620819628,-0.14404876057385968,-0.05891766821525438,0.16636561196438723,0.06137312505324783,0.025852865600816427,0.013375428891436265,0.010013658956294047,1.1956896150444536,6.007557534494616
60,9.82284762164535,9.61578988690089,8.6211430123889,7.80380365541193,7.12584568001556,6.33548364406845,6.06516563240935,7.1636590964389,10.2422300077889,12.7479266768705,15.8455902330613,16.0937119805447,16.3677293115,14.1672678607251,11.2793489975484,11.2120666331712,16.397363760834,24.505979856093,29.4486074551946,33.9825384510879,33.6302590123359,32.110613125472,30.3532201978642,28.6230184541099,24.4756130776119,19.8633261593557,15.552965617543,11.331541679117,0.012618320401912407,0.033342915195571796,-0.008268651668772626,-0.013469794224825441,-0.01243122549467918,-0.005884067775650206,-0.002350542546878754,0.037281890554389505,0.09158290748543874,0.13901598286520303,-0.6611063815585401,0.2979890196910131,0.07359983737932224,0.004761974944433139,-0.008312944697590152,-0.036820636203961005,0.016110737965612985,-0.038576976767781775,-0.16452343292982538,-1.1348224439692531,2.8201979308023937,-1.236806652217577,-0.39245544807860094,0.12401835373969292,0.06465163067377057,-0.008908366140176382,-0.0009459004631697313,0.02067922590076578,1.034100218777638,5.798297940976813
61,11.3735204978687,10.8556537934057,9.7812597684622,8.62725525427073,7.60101411930076,6.34030458085168,5.50331368106143,6.57903706792963,9.3492442548342,11.7675671019931,14.4654339559702,16.0254731512545,15.1494832984441,12.129490368464,8.49841092864054,8.01085121773042,13.1769583499073,20.9238756728657,25.8865612250788,30.9633033372041,32.110613125472,32.8224734573985,32.9785961071091,33.1853043997975,29.1749340733469,24.5811320788218,19.6084183197223,14.6249540695555,-0.0291153574273392,-0.004398130680314686,0.00011350062189191262,0.00409877676266823,0.03506269448749643,0.007213787154020655,-0.000932342060238584,0.034825162778318985,-0.12569643864023633,0.09464099954727548,-0.09340320033375339,0.003580041268827957,0.025200032919091734,0.030340108494554548,0.01083922992141414,-0.007556411556065024,-0.008880025338488126,0.01880677354262185,-0.014512199636569764,-0.14428829086340256,-1.235409649050024,3.0440287121426923,-1.6064129958764153,0.02464177629259371,0.00500082369500821,-0.02477759023590231,-0.009005627229710721,0.0001712875255550086,0.6385609014641271,5.72821730186613
62,12.6377926055074,11.9064851563848,10.6899338293279,9.14687790643066,7.72313428691065,5.94414298171639,4.50537691907509,5.50979433429798,7.97139985026004,10.4760798162257,12.9415252503568,15.9903190996019,14.2452603713698,10.6297274101038,6.48094337708213,5.52640341265322,10.4763196012141,17.6608077579777,22.4696420355777,27.895879299657,30.3532201978642,32.9785961071091,35.1191218705351,37.2339122855551,33.4731846598056,28.9861180868839,23.4396628433544,17.7844979853573,-0.012775598814803208,-0.01087500565608947,0.004232343972679531,0.01530096353167114,0.030342392991273153,-0.003691412812031464,0.00663127498646208,0.007686408395206793,-0.014075430122022324,-0.00902555398633438,0.001714460580019542,-0.027391981532264995,0.02104019392047417,0.006108541096910361,-0.016912536089277584,0.022055375432079007,0.03289954812814483,0.03581918768649358,-0.023528580257908816,-0.0587950600413224,-0.3905398414255349,-1.6093453487527296,4.331764443349875,-1.8854540021443302,-0.3429630934887398,-0.07511284555500457,-0.020038485823080134,0.0465223178565788,0.14993402654692972,5.925295087211696
66,13.9121638591398,12.9668934977464,11.6124919891921,9.68893431636425,7.87868637705817,5.59221273738882,3.56076147745193,4.50219037553791,6.65992929667099,9.2423363985477,11.4657079298041,15.999421884127,13.3737592769644,9.15103700819282,4.47275600981206,3.04216089396707,7.77943261857545,14.4056458932551,19.0621787415647,24.8452763754458,28.6230184541099,33.1853043997975,37.2339122855551,41.3410577196636,37.8091893495634,33.4144570656853,27.2829081514852,20.9460453511839,0.0032156903734858566,-0.01953744320178937,0.0084320943432821,0.02802354715320448,0.03304253892899913,-0.06182280201775637,0.015157521780605704,-0.005057727304271783,0.04737349057161461,-0.12888060273361573,0.17899088528870935,-0.12410203912953223,0.04346324994821208,-0.011367227565666582,-0.085904068970621,0.0757607117645532,0.0987734454547215,0.03704958196430946,-0.03463942997960215,0.1653296460496338,0.12221981184588303,0.024436229583488733,-1.8811151070836545,2.4343494301194477,-0.9382946938542915,-0.05004555887428748,-0.02422451229456574,0.09741510600758704,-0.3338541386928485,6.428923527283836
67,13.4434731097034,12.6769040849231,11.339121710125,9.34967777822354,7.395029907672,4.93224508716105,2.76962158883802,3.6500211445906,5.48774685264286,8.09400988166648,10.4092267365394,15.437904721055,13.4543312420094,9.88560260581133,5.97311982542718,4.63436774036902,7.76780518678843,12.2982771905201,15.8110602329251,20.7514313789092,24.4756130776119,29.1749340733469,33.4731846598056,37.8091893495634,35.7223259881334,32.7998720843653,27.8239942859612,22.6172358127989,-0.11440504615388916,-0.04662547659951825,0.02242653167360125,0.09462167529182564,0.039981354315534526,0.054075042453834245,0.019878184431117468,-0.04954626119740205,0.0022641801502899764,-0.045587977606927114,0.04464914329439411,-0.0634752946502892,-0.008758310920239988,0.00448719608213396,0.008494655707524317,0.033253264130546696,-0.05144635023501623,-0.052174391650241604,0.034404304552661844,0.061628127622776835,0.06780838464643336,0.007275685730145076,-0.3412165994603533,-0.9381524929353642,2.3104707934841366,-0.9923446905846138,-0.23809187275596036,0.22579227233822902,0.23781084506890948,5.975979081969194
68,12.2102021741916,11.9264831641738,11.0878808270632,9.47217757843533,7.76382945469386,5.49340874397144,3.59338491966749,4.25623068547644,5.47895760108113,7.75435243385512,9.74220716190827,14.8013749994131,13.6399725815869,10.8206545356711,7.7698266694155,6.43601929539665,7.58832781105625,9.67906747231332,12.1647910833972,16.2771162171635,19.8633261593557,24.5811320788218,28.9861180868839,33.4144570656853,32.7998720843653,32.4271661369441,29.5047429478601,26.3266114470213,0.07749894518427425,-0.09051627042221577,0.11337981133041981,-0.022684928402001505,-0.16449615378691929,-0.02543621520631489,-0.017463774557771223,0.006643770107537377,0.012022472046050068,0.10546152291113745,0.025509701086922104,0.05532611233659692,-0.05868346769717404,0.01991305014535145,0.05576378039863329,-0.03050331859768616,-0.17565204677157503,-3.47534327176886e-05,0.15672976187258875,0.025247134758604257,-0.013396198101090884,-0.025898274864337368,-0.07619765604667197,-0.05126600726648027,-0.99333134250097,2.263615497713044,-1.3999939136901471,0.23307973299570223,0.5646985630856598,5.693607480055513
