,Cov_1,Cov_2,Cov_4,Cov_33,Cov_34,Cov_38,Cov_44,Cov_45,Cov_50,Cov_51,Cov_53,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_68,Cov_69,Cov_70,Cov_71,C_1,C_2,C_4,C_33,C_34,C_38,C_44,C_45,C_50,C_51,C_53,C_58,C_59,C_60,C_61,C_62,C_63,C_68,C_69,C_70,C_71,Mean,Std
53,-1.68552313467312,-7.48792203106665,-4.17170617184923,-0.180005228560793,0.576023152146172,2.24665681403248,3.9472958406834,5.63739277893999,17.4172914874025,32.4949131796948,47.6138378073401,39.8359458502039,30.5999156302512,20.5279767090958,23.5605042329118,20.6844166855818,17.9902951814159,15.3428157612597,15.3047589261262,12.3062745140819,9.13058397984976,-0.05216691989596149,0.07549919960200649,-0.03191254242443742,0.12551589540639047,-0.04511823402438675,-0.048764656256492726,-0.23051335559410333,0.6770069312011227,0.1357397748494471,-1.61492057734946,1.9125986189830804,-1.037016134629871,-0.12880038520474524,0.4773263883137957,-0.10184594236259933,0.004980526801686954,-0.013836032149243244,-0.03549273504392138,-0.00024497756671277557,0.010062009994970568,-0.03445657009510462,0.3521538769785615,6.89955344985022
58,-3.24327015465038,-9.44665636975425,-5.58107719848106,-0.290101850585446,-0.319641863241001,0.80456421352316,1.85800434202257,3.16301042995005,11.0763046380397,25.364846586964,39.8359458502039,39.4769177611949,37.3340580192357,33.0319649382088,37.0997585311404,31.8153317017408,26.4491803331455,21.0953785970139,19.0261968888225,15.0777054271009,10.6021437757749,0.083074039443892,-0.0005941627086069723,0.03804555905748115,-0.03202395602709378,0.013483686361998294,-0.0041655521412826265,-0.004953767701403675,-0.053570112571780584,0.03299037332517061,-0.29150671327762206,-1.0387042718421509,2.487874024955699,-1.1331785483854586,-0.23720252075232506,0.11646458256008366,0.0023295708921790914,0.010938262908168,0.037938631762964664,-0.0008781664438497848,-0.04404988662093103,-0.09379092308316438,0.10490215721632291,6.282270112084874
59,-4.28508353265574,-10.7056570966126,-6.64671969599935,-0.481365262554407,-1.40549158220044,-0.912364588764377,-0.589658727534209,0.25073254475229,4.08413023998496,17.1827147504743,30.5999156302512,37.3340580192357,42.5939440006965,44.23515879453,49.3776484320776,41.9031651389603,34.0921529393997,26.2601616025585,22.1005518618804,17.28159920932,11.6195635475312,0.03699450710043739,-0.14243947001516935,0.22943109016066335,-0.26094501800641995,0.09826788169420539,0.026494603685025125,0.0035711286483638993,0.028342291932161003,0.24727979583304563,0.11461771928115187,-0.12426141785562744,-1.1307027485906926,2.0806865150269847,-1.000446634165699,0.030608904999348683,-0.04431366490067,0.004684948523950394,0.12002304369926284,-0.0022930932720041813,-0.07891282708029015,0.11031840010862239,0.056575168636879516,6.525637440181345
60,-4.17183411397168,-10.5434308817709,-6.43652595635835,-0.550878024007258,-1.76169300868309,-1.56134801777389,-1.63739356939622,-0.903130979777488,-0.902881905049993,9.69268432951023,20.5279767090958,33.0319649382088,44.23515879453,52.5887949095812,59.3050354535752,50.3985089860084,40.9461498811921,31.4502840655876,25.3636018627325,19.5097808546362,12.9515059134711,-0.07941680351646031,0.03624148808398624,0.09568913722674738,-0.03571168439880264,0.03180416321942999,0.06241049742628565,0.07160035343516964,-0.3242375019991815,-0.06110718831385249,0.10426242332053595,0.4756730124275544,-0.23495650224624476,-1.0026052048928835,2.2527528267236994,-1.0099343340722997,-0.38520250672122747,-0.07356563115208276,0.33615299947710187,-0.05139308267025132,-0.05432690636052777,0.057921080521215106,0.3623956454952249,7.251123699784828
61,-4.33852052243044,-11.5365447340454,-6.78204864020884,-0.64796144502588,-1.86720545855877,-1.53918458721524,-1.56699675867491,-0.905689866010248,-0.831586022545529,11.292841325341,23.5605042329118,37.0997585311404,49.3776484320776,59.3050354535752,68.202655410127,58.611701887891,48.3879498391567,38.1204293113148,30.8649476360403,23.7215946386341,16.070982070252,-0.016919791890231732,0.13442489753579684,-0.20178127328078396,0.04830113967830231,-0.10321552455336792,0.020144551659979963,0.047141507395457596,0.06780725324903528,-0.001278965277816637,-0.027853506340384776,-0.10716025325201814,0.11223565824131772,0.02934958623715999,-1.009041685859104,1.962147061320958,-1.1125043595608506,-0.3389780289019539,0.08423551981669787,0.05711217344794146,0.15652090356698936,0.04720496807538162,1.1326554464703134,8.257884439136152
62,-3.14484334418093,-9.26439346357719,-5.57595476643748,-0.858895499651621,-1.79106108367638,-1.23214691459636,-1.05829152421875,-0.819721926502363,-0.766334251142901,9.93949761500903,20.6844166855818,31.8153317017408,41.9031651389603,50.3985089860084,58.611701887891,51.4091919426673,43.30591744547,35.155670968264,29.0597682904078,22.6243501386206,15.8272037249022,0.005799641673788984,0.0017227708672654628,-0.0230873062230051,0.2607939027440065,-0.010526905230940665,-0.10288860938258049,0.011226472175938248,0.00788093419404319,0.021110378093477756,0.008113641742512608,0.01113031125887567,0.0026172482372310377,-0.04541227819136759,-0.3810006839552515,-1.1106673289591869,3.048633903392755,-1.359330633882323,-0.25491540852767564,0.10368630177487029,-0.003868073998197653,-0.16783046349294006,1.3652808388432514,7.169322976590415
63,-2.08835108294825,-6.97990861669447,-4.16225532905893,-0.61491734504774,-1.37618053060865,-0.735181794816739,-0.448025071628767,-0.440184117601715,-0.183039130161822,8.94368176578106,17.9902951814159,26.4491803331455,34.0921529393997,40.9461498811921,48.3879498391567,43.30591744547,37.5329473403864,31.6006366511116,26.6510337787825,20.8482125051583,14.8191132158217,-0.014979426150540565,-0.008780095222096678,-0.03714320505912533,-0.006456373438489157,0.005262862253770539,-0.021471834332080678,-0.01978883227490752,0.010547759002192469,0.03157386606873439,-0.009180096327287345,-0.011842305185789898,0.010391335126520209,-0.004343680868720863,-0.06841119611320473,-0.33842569860820376,-1.357523529417348,3.7361067345504484,-1.6469815381828974,-0.1919652021031367,-0.08265869402904458,-0.05958752171320216,1.4181827289120417,6.125597712908217
68,-1.18951814633362,-4.84718788206602,-2.82234870922363,-0.371263959947289,-0.961502992237346,-0.250768049673499,0.143830456401312,-0.0463367299025038,0.459610128659711,8.00030631614721,15.3428157612597,21.0953785970139,26.2601616025585,31.4502840655876,38.1204293113148,35.155670968264,31.6006366511116,27.996139589034,24.1653040668217,18.9649305362051,13.6721145128204,0.025317758514598283,-0.0025243726271988154,-0.019497249845406434,-0.2486608242682784,0.06231057523696094,0.06199469540784807,-0.06387328009454185,0.02727312381754386,0.07365105340401214,-0.06441376740704086,-0.03275248758375017,0.04043935356295356,0.12038968802388508,0.336292661710012,0.08011422559592368,-0.2547223601426463,-1.6471743891663453,2.2904720995592105,-0.6860756195563827,-0.18289001143161446,0.20621196490850957,1.4263632113561988,5.290192774279024
69,-0.625771697422572,-3.8810013608188,-2.5133773772427,-0.755490770163036,-1.0955913718953,-0.190159737244861,0.395286395644158,0.272075064045621,1.52777414072696,8.49179823683222,15.3047589261262,19.0261968888225,22.1005518618804,25.3636018627325,30.8649476360403,29.0597682904078,26.6510337787825,24.1653040668217,22.159377153268,17.7875334780246,13.3360685739953,0.0841675440942787,-0.004108777235229672,-0.10371541939156788,0.12190769690863165,0.03331503871581657,0.018436011062719724,-0.00798188293045556,-0.02535795863314913,-0.0708816088503729,-0.027587947251675297,-0.004715897522032427,-0.0006227012128201493,-0.001567994673571899,-0.04871713170119658,0.056584976066245345,0.11155549274126494,-0.19018871830170694,-0.6872917735814794,1.7867212368603973,-1.1871417843695724,0.181265880476128,0.6834684249831515,4.706312479348139
70,-0.057171615515621,-2.92069854408786,-2.11162264771368,-0.96493711081561,-1.20576671321397,-0.427170983545532,0.0324466394449702,-0.23398286750029,0.817603214806482,6.59086894824259,12.3062745140819,15.0777054271009,17.28159920932,19.5097808546362,23.7215946386341,22.6243501386206,20.8482125051583,18.9649305362051,17.7875334780246,14.9875166966316,11.9390197377998,-0.03778525492905851,-0.2456318148802118,0.5558443151428522,-0.21127664289218145,-0.027572164175427974,-0.007356167207454688,0.022610302035167205,0.0043558052805991255,0.007508066381621217,0.015490837203878354,0.005446889730740799,-0.044925462883780486,-0.07737488966163943,-0.057632591220458065,0.14993413213719514,-0.004621730102668088,-0.08315195879272001,-0.18268606622229933,-1.1874612620718943,2.798002110429053,-1.21360062388565,-0.5734048560135517,3.8700796757472093
71,0.7417339934384,-1.69252771573499,-1.27984718316862,-1.23103332490404,-1.23280390323111,-0.480429559194209,-0.0590256559873564,-0.432448371751057,0.4674097865383,4.80170481835431,9.13058397984976,10.6021437757749,11.6195635475312,12.9515059134711,16.070982070252,15.8272037249022,14.8191132158217,13.6721145128204,13.3360685739953,11.9390197377998,10.7252723088635,-0.10149905427994965,0.23835659564897585,-0.397463793102699,0.2174739221914527,0.025535604575074592,-0.058903557065759615,0.017550760787937332,0.024696241200455146,0.03543236204594138,0.05699130888225776,-0.030257128900978814,-0.09318388096684908,0.10919800158435936,0.05834106254563921,0.05009993454560419,-0.16873725556990987,-0.05965309127966864,0.20640792985977613,0.18135857596261853,-1.2138502058922727,1.2493303952741983,-1.9838879680394403,3.27341905488183
