,Cov_0,Cov_1,Cov_2,Cov_3,Cov_6,Cov_31,Cov_32,Cov_33,Cov_35,Cov_36,Cov_43,Cov_44,Cov_45,Cov_46,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_55,Cov_58,Cov_59,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_6,C_31,C_32,C_33,C_35,C_36,C_43,C_44,C_45,C_46,C_48,C_49,C_50,C_51,C_52,C_53,C_55,C_58,C_59,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
43,7.05943867563502,7.1166537588366,7.0695688897132,2.87449041557129,-1.74237172102604,2.23204123761456,-0.0039385431208558,0.28046701624626,1.16802403460956,2.92536394273642,5.09663761174968,3.64774296972709,1.44455981590709,0.905453984149688,-0.343556420880743,-0.949111706462157,-0.889036125058033,-0.29028365781519,-0.108384019869103,-0.152588785686787,-0.936595892400878,-1.69632394216106,-1.82559079074418,-2.07325505733941,-1.00037121811332,0.429358345745737,-2.35073597190338,-1.87106147544257,-1.1648650574616,-1.00102318246552,-3.91732549245892,-3.72550574085931,-3.25396114753898,-3.04490868505625,0.03577122026881169,-0.060471853274312586,-0.06456878707692548,0.009911298705089501,0.06523234629706838,0.09785377858884832,-0.2042322965698928,-0.023227935044012892,0.1465429144037211,-0.2411121283762359,1.3019799843577948,-0.8940749703388103,0.1345689515884518,0.15100908057373916,-0.14094133009119106,0.07449991331265965,0.300328241609106,0.0554648154951201,-0.03435555044092747,-0.3284010941630948,0.10224987967382389,0.24429026291780312,-0.1902296011865466,0.13183422916587043,0.018292236699838038,-0.1126358185755033,0.02175279264529927,-0.03950467226797191,-0.010734686580384794,-0.07271473661573805,0.08305152352853998,-0.0653876250027176,0.044911387542284596,-0.02666275891668971,-3.143888888888889,2.25535753523686
44,-0.853138813318843,-0.612892427944315,-0.381300620815371,-3.33678220984686,-6.65201620693974,2.02760251927434,0.0171307283959423,-0.245747917651893,0.790140683852275,2.07936267429858,3.64774296972709,4.1571570881226,3.66877422010163,3.25340214066015,0.556804309848027,-0.191314855985237,-0.644720555643226,-0.593120543548086,-0.815062019635893,-1.23318800006432,-1.73351257086928,-2.21251977163576,-2.50748767655243,-2.90014632862373,-2.24031186266178,-1.41804580151749,-4.6078181772399,-3.84794020784043,-2.53116805933793,-1.7530138140511,-3.9594980440498,-3.45087511375277,-2.00107020831451,-1.01523967571767,0.037017005680181146,0.0029145740369474612,-0.021808782290086235,0.0008486532363480076,0.004390823900787503,-0.014055357582580778,-0.03354948541629723,0.053531648985958365,0.05726675967677853,-0.24600156639897092,-0.9164664824700836,2.026295174211437,-0.6142601990699335,-0.2361498328650834,-0.039412621605075804,-0.01667287566850203,0.020329129336358925,0.022491945590418616,0.21283899605526366,-0.15017871310627764,-0.0025547864403580533,0.017530998494306,-0.0487296736917394,0.046690480697740205,0.017478596412790422,0.05630495623063172,0.10803922430778405,-0.018254838145764292,-0.3134818462658084,0.31269605411311424,-0.15445843478547042,0.17658891632737903,-0.08755464318259448,0.030853799163211692,-3.4066666666666667,2.0364569939290655
45,-9.78155651950602,-9.54420979390575,-9.18282789572709,-10.8765730023286,-12.8258683113994,1.57895366669261,-0.209704355769702,-1.16241157240095,-0.100649178126712,0.562659217851306,1.44455981590709,3.66877422010163,5.97628352490421,5.64942558195327,1.49013365199646,0.765134293306386,-0.0691550527006122,-0.416590437947225,-0.957218974741895,-1.67830119410648,-1.76177367410229,-1.83765396950758,-2.20407269557166,-2.66350868101001,-2.4132559460713,-2.43023016009732,-7.03628320804654,-5.98242811579803,-3.92788394369046,-2.05196551897888,-6.48400483499779,-5.46823558218551,-2.92149946748551,-1.13150448485279,-0.032516018728832384,0.11108550862893694,0.021616409009701954,-0.04112151984473099,-0.01621408169763875,-0.14180284312235167,0.019362555464455228,0.28788848908189146,-0.06790311758424725,-0.029994733824883796,0.1346175368239536,-0.6178610575195668,1.5562714196724428,-0.6913392746496094,-0.0008409583106125607,0.05959427579614323,-0.06319987522129188,-0.092997276223854,-0.1226171863841291,0.30319525414144016,0.0214527244360004,-0.11777994078779537,-0.002737842445816915,0.050396983980213333,-0.06736909093290205,0.044823812239754186,-0.0618754470006952,0.06971015507962912,0.16524640183136527,-0.14491742217219905,-0.045152531423651145,0.26644093215984543,-0.21456138765678007,0.04757671059817445,-3.466666666666667,2.442597700175822
46,-8.34024679787897,-9.9625285366764,-11.4799221783317,-13.31107891007,-15.2738767155582,1.36309887065127,0.890866106555997,0.0523566848546087,0.468479349196243,0.475781702357317,0.905453984149688,3.25340214066015,5.64942558195327,7.27937931034483,3.71082714355617,3.07426919131814,2.114609765491,1.19408621476453,0.9712492081811,0.788323958090819,0.296894534021576,-0.16229137170865,-0.830439842091289,-1.571003436853,-1.44456225747984,-1.33028738262991,1.30641094820565,-0.961988195833826,-1.80580779100763,-2.78017086575749,-5.02857195004896,-0.860506207743247,3.70064082363449,7.72860706535489,0.015110510955315886,-0.060698170388330884,-0.045631590911646765,0.10003886759142175,-0.027238324022052993,0.03917466481101656,-0.01016488513620084,-0.11232839268403379,0.0008678205917946597,0.11253227163477539,0.15726088362846788,-0.23309878388886732,-0.6943549924572641,1.0412502504588654,-0.13698434865420267,-0.10244996394212108,0.07365454818801485,-0.01620005250030037,-0.02008494435655681,-0.05906666957885473,0.01099956479791211,0.03045674580743009,0.014996032343273421,0.023567031219516234,0.01326079259562114,-0.06903997245471967,-0.0699329070033256,0.07695926573643136,0.02167624101939756,-0.05455713266785633,0.08232512419941257,-0.19711138180721696,0.19199633002762945,-0.0839776751880013,-2.99,2.6961786495603053
48,5.17067219009259,3.26598071394394,1.4061783549207,0.632370437523737,-0.0613380747183714,0.39705272248499,1.21113329521326,0.651951848921875,0.340703580081387,-0.255142486100818,-0.343556420880743,0.556804309848027,1.49013365199646,3.71082714355617,6.69050574712644,6.04419251867614,4.77189864682573,3.14129521367612,3.57364795948391,4.3280222389717,3.68371327359244,3.0921291253542,2.44073524025701,1.74551427949899,0.989760857846892,0.417126633023887,11.7412794925696,6.50721934180082,1.79585771412932,-2.9740004815788,-1.88906403570928,6.02855794393691,12.7275663672681,19.1801075577041,0.04336762739221589,-0.019951845940792905,-0.002219664521519237,-0.12145756749395094,0.09604625441761173,0.18190360316844628,-0.16274072714225266,0.0646611782890219,-0.0030843691786991757,0.05142214785248492,-0.1371517865254154,-0.04379151732556076,-0.0004836527066741444,-0.1390739988663386,1.4018023715118595,-0.9361891628175217,-0.18604611874573682,0.20224718936104,0.147519440684273,6.643440860312167e-05,0.00984983467098038,-0.02327352074177766,-0.048461379547408284,-0.0501101319688925,-0.04330070301490525,0.027656306907211332,-0.011704155174157663,0.047925617330748814,-0.003540643374703234,-0.027099695095021522,0.08625094200737782,-0.05166357503157799,-0.005990857578427968,-0.05827322567051643,-2.746666666666667,2.5846674345312666
49,1.89398385795522,0.448495314813124,-0.902892284548278,-0.0333259328686848,0.98260894419913,1.46428105643239,2.75872109965823,1.63365673503367,0.760478915567157,-0.136229997494069,-0.949111706462157,-0.191314855985237,0.765134293306386,3.07426919131814,6.04419251867614,7.65568358876117,8.2316776079762,7.9310496382673,9.36825310847662,11.0667755907842,8.46907046340903,5.88305603776189,3.45308339152379,1.12182073998226,0.459506946141799,0.069128491078288,8.15601097696997,4.67876468430105,1.62341270792795,-1.39018945149245,-2.28313564502085,4.17713569993225,9.73580459901659,13.9985708925449,-0.04450609411407188,-0.004512145234531565,0.04181179943183376,-0.006395598538881759,0.008959950629079528,-0.0030475857071440454,0.07081048508183127,0.00786974194614099,-0.02683898898760274,0.02508907890228744,0.08134705938172758,-0.030181497678330543,0.06169248627384217,-0.10254306367264505,-0.9497017596281709,2.175130539424507,-1.2294556955559406,0.13786181766830374,-0.022132861490282908,-0.021680889021352647,-0.007093307845673832,0.019070071026180364,-0.02724581392527446,-0.18213980912564973,0.1960124377365253,0.009856258783206206,0.008156778782857614,-0.0007566485713250821,-0.025374269453729184,0.043723502692947606,0.030186096596895567,-0.061441158324728906,0.02303363604669605,0.022518641233412042,-2.773888888888889,2.7650829261997143
50,0.272384534016537,-0.767955874457699,-1.66063945555443,0.634826790011635,3.09327132531832,2.59116370951328,4.2335186828631,2.59535959591585,1.35136521759313,0.447692794382929,-0.889036125058033,-0.644720555643226,-0.0691550527006122,2.114609765491,4.77189864682573,8.2316776079762,11.1997688378033,12.6231223050703,15.1098230546159,17.7328776806329,13.1515141862069,8.52342382097005,4.31360024666449,0.364013213502426,0.143686230644024,0.249981131588725,5.66712575580439,3.68463427026454,1.93233029419228,0.316034574926221,-2.04703868273719,3.00857843491336,7.66398779699179,9.95197496167129,-0.005583548458458231,0.025991219669046,0.08297072816152405,-0.09081117542085233,-0.011379750502253164,-0.19257093097738553,-0.1853786336170345,-0.31471264282820555,-0.11527479787182898,-0.0006500236001332428,0.3330195502191007,0.03901260719645134,-0.0835272994135058,0.07374046590480882,-0.19927871665594227,-1.240417307485367,3.2369934559162385,-1.1821964936099632,-0.16488203980193028,-0.11182829082316412,-0.06526368993404207,-0.0071326885188588715,0.055042863400724396,0.13912576020238068,-0.034968935611895846,-0.11094400773154375,0.036777258697361724,-0.011665204834127875,-0.06680247183360857,-0.018002921089298265,0.02852418659666798,0.0858471931500574,-0.0940194604886547,-0.016528324967844205,-2.9677777777777776,3.345111184669848
51,-0.86275203372231,-1.08855504614453,-1.12856280893596,1.40494294875301,4.04360741378394,-0.0427476491023305,0.858094178071516,-2.14724372561997,-1.6936472547604,-0.466786761063206,-0.29028365781519,-0.593120543548086,-0.416590437947225,1.19408621476453,3.14129521367612,7.9310496382673,12.6231223050703,17.8163310983397,21.5187337059476,25.3422923456917,18.9205194273392,12.3865073461451,6.54914058329679,1.13996143808187,0.910523754812874,0.844588333707583,4.53545730941164,3.71589450583279,2.85055532451721,2.23164420141569,-0.187887504401788,4.1626581576316,8.14674936077565,8.45918385958581,0.027046414421786763,0.03608305222527773,-0.046683331633462076,-0.03990794416491685,0.049762652778845715,0.0370288104730985,0.18897425278166888,-0.006745976669611918,0.21747493283045882,-0.03233677349699328,0.06064188559834049,0.026330124450316746,-0.08232977414995128,-0.01600576618641825,0.20269007711866333,0.10649812021533006,-1.1969055885509887,2.231283537932678,-0.6893745706874767,-0.37058617803858757,-0.130799464933633,0.086881353328002,0.1976466779202758,0.15897870443304013,-0.11002426203907253,-0.011739971202035869,-0.01791419366161089,-0.044642776734318865,-0.007650326836273221,-0.01172563887285642,-0.04148703456200351,0.0400541960747726,0.060746476237785535,-0.040549417349113985,-3.4505555555555554,4.219754862351571
52,-3.62701577137112,-4.43780724473984,-5.05048384278696,-1.97026401404293,1.67201817618179,-0.503897690159197,1.06724135645288,-2.7431712967695,-2.03827148467716,-0.418398833567428,-0.108384019869103,-0.815062019635893,-0.957218974741895,0.9712492081811,3.57364795948391,9.36825310847662,15.1098230546159,21.5187337059476,27.0112194191134,32.3364674629333,24.7869951195035,17.0974756214244,10.234367251471,3.90316415145027,3.40770947764282,2.82572865448979,3.43141017498268,3.33251158001274,3.2520291600844,3.49970568826427,0.975310128109015,5.40562928276565,9.20863330877323,8.48250517580959,-0.01919141100895235,0.0004780907833864658,-3.636295937412188e-05,-0.02122602763011282,-0.019397963872708434,-0.0673743903223634,0.002568644783926698,0.012225905766405273,0.23104496065978888,-0.1646264760673434,-0.047920795881766134,0.19772756382430798,-0.13295110612494612,-0.020628225382181564,0.1673711950210067,0.007584793069807181,-0.17260628117906598,-0.6908570427363182,3.1152489504723873,-1.6047002026752148,-0.6617231948221454,0.16263019144390042,0.16444403424740953,0.05317887050821818,0.011489182209873144,0.05175460880439606,-0.02993085060371696,0.027230544640924538,0.07321210346868065,-0.10402831237681856,0.0168020934022958,0.0471579150944771,-0.02192381609139198,-0.043524973562526555,-3.0904563492063497,5.196269760040699
53,-7.8129537830753,-9.40439893690748,-10.7939150328304,-7.0726455673204,-2.36026237321644,-1.65859592795054,0.904585690157863,-3.49959477119014,-2.52025986974512,-0.552878736211709,-0.152588785686787,-1.23318800006432,-1.67830119410648,0.788323958090819,4.3280222389717,11.0667755907842,17.7328776806329,25.3422923456917,32.3364674629333,39.6488819639925,31.4698204498986,23.1475690083163,15.7428317907709,8.99434567047786,8.48530884353423,7.75718470577319,5.407937367974,4.80927157648814,4.38798836051967,4.39805018634734,1.55348492821765,5.7141559133516,8.80003039172378,6.57301773141497,-0.007172890962321433,-0.0038040455723654725,0.013327852618293166,0.034054276595766035,-0.03921421340241204,0.06537575467016932,-0.10026976908791582,-0.10886827663472007,0.25601299947756934,-0.03926493124858393,-0.35134246572033473,-0.16276684030477231,0.322034971035973,-0.06125868201629596,-0.0034205531039335447,0.0035770121573448104,-0.1141047878353004,-0.37352930409541846,-1.6087663647566564,2.9488429992795573,-1.49616752198564,-0.051134658448155505,-0.055825147444374584,0.04665303663325814,0.10637403249999788,0.016734794109754713,-0.017122796261581908,0.05983313276823092,0.018157500445548178,0.035301085544049905,0.017292988480788193,-0.0433705693448377,-0.0850512159392528,0.10007936988183297,-2.54202380952381,6.295941705892176
