,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_7,Cov_8,Cov_9,Cov_10,Cov_11,Cov_12,Cov_13,Cov_42,Cov_43,Cov_44,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_64,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,C_0,C_1,C_2,C_3,C_4,C_5,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_42,C_43,C_44,C_48,C_49,C_50,C_51,C_52,C_57,C_58,C_59,C_60,C_61,C_64,C_66,C_67,C_68,C_69,C_70,Mean,Std
11,10.3852726201555,10.5053824648844,13.0511312361479,15.9283137669081,18.9113610464232,21.8325348104644,26.0701814623173,29.2612027202425,32.8229683944932,35.5375437455752,32.7943404593656,29.0135423532939,24.8342193451405,17.9519898782816,13.528871947546,7.6104503184026,-1.67068471754953,-2.5909279193542,-3.27345558396591,-3.10177895666051,-0.360711909455596,2.63304779326064,2.8308148922075,3.9798889995834,4.73831351926006,5.43084673261138,6.33209723399305,4.36560559005808,2.65449204130651,0.986431083159953,0.263090490129351,0.359023915435927,0.012886814862538645,-0.003189576249769023,-0.00868865770061838,-0.014931644637747073,0.008136736646789959,0.04821695968977605,0.03282606625273038,0.10330828255694181,-0.3447535772302622,-0.8449691343717227,1.9863491693913975,-0.9605070028246881,-0.04159767409748732,0.11004207108158176,0.0373705613382466,-0.08668291122741947,-0.05095687252031908,0.09461189977661245,0.004857796486044135,-0.03460806841857959,-0.02021976075188611,-0.11577593936024586,0.13369669276944043,0.02109449563027991,-0.0038449564157985094,-0.031342238398562816,-0.1684790358419932,0.17737993168174881,0.027101207331719123,-0.02707183051040801,-0.10662173215642248,0.026170526299194943,-0.2601511233864175,5.725761124895589
12,7.08962835985423,7.00295955357361,9.05849455664103,11.3255011606667,13.8600067727291,16.329332667633,19.8515521063895,22.8004361490139,26.6161142070463,30.0488257643573,29.0135423532939,27.5596282020724,25.2416233821054,19.843005938034,15.814570128094,10.1397712157344,-0.0915549856186901,-0.864791709606256,-2.27053698471418,-2.94319396065902,-0.561234469129392,1.8999543082251,1.73663002543074,2.14042261790679,2.19123668035101,2.31231889648575,2.59872290016138,1.33680702666672,0.681083206513194,0.100119970750533,0.401192242998811,1.63504819455394,0.0067871881887160155,0.006703203897322955,-0.0209823680742696,0.005372810284434391,0.009463956691208631,0.030130666855975784,0.020941847073913986,0.009701470834879211,-0.055331835177636964,-0.04538709921941729,-0.9709130091782447,1.980413152276771,-0.8752704021405021,-0.044080226312212575,-0.024364604391348348,0.03525829953334493,0.10122033482887659,-0.033877644105949054,-0.029713377790868824,-0.0317624397851078,0.01869092308758422,0.13977666606200223,-0.17433290587394173,-0.036196587096612935,0.0043173093725009095,0.05609507815101544,0.16375083996144568,-0.1905695941187417,0.004738795496464833,0.006938817450302054,0.034006442679433896,-0.03278649250818753,-1.4182277526395173,5.248773971326294
13,5.27690066042344,4.97920160656967,6.44363511360963,7.86557021376587,9.72484843076484,11.5209719789997,14.1925602023176,16.7665584887612,20.6297517543896,24.432984841205,24.8342193451405,25.2416233821054,25.4546450583558,21.9992290122322,18.8415940996883,13.8469534744468,2.99572908849854,2.01751018813567,-0.520259513990379,-2.42529357001807,-0.944586820695676,0.438663109050616,-0.532612183324408,-0.814237905291661,-1.42062791848057,-1.79675499081726,-2.04407884702373,-2.60820018892198,-2.19419406207313,-1.76776067089392,-0.535580019509783,1.7021087584741,-0.0012461448246097822,0.043636392507932366,-0.0007766420194331867,0.01923330708518344,-0.02173815647441628,-0.08767613829548836,0.056072135463305986,-0.047564148784101805,0.21987680570977713,-0.06125894878850329,-0.045458747284287705,-0.8783380292950728,1.4406478306164678,-0.2507252295842883,-0.24235182446821615,-0.04716007763512384,0.14297569010456435,-0.22431540993028992,-0.16108860521339888,0.25574095892984056,0.05264990228589236,0.019821477775520915,-0.03824896727293985,-0.026697192873240124,-0.018878631608822083,-0.04888430001971193,-0.016308875799406996,0.013272660504148364,-0.0061372533493487084,-0.0006066661823735636,0.39842271185859784,-0.3061361243249047,-2.7566074121956476,5.044268535511944
42,0.5043383055065,0.127365594579994,0.803334020185553,1.34644772020847,2.52450438816809,3.72300654015689,5.76884336941223,8.41499173125674,12.3645543087243,16.4671299405686,17.9519898782816,19.843005938034,21.9992290122322,25.3644901355288,21.6409201658878,15.8094754169482,2.40252522390678,0.165452010045975,-2.6270678152347,-4.84741627251621,-3.50430745542839,-2.5472370940655,-4.4375905061616,-4.85214483764152,-5.44724740951131,-5.66594191268435,-5.80751842917326,-5.65944963137818,-4.50596471710405,-3.44873884968185,-1.93511929017709,-0.659382381328327,0.010080632845309806,-0.02363647330111215,-0.07994641779966542,0.026887620575555358,0.023980127586412815,-4.397840956104192e-05,0.04049533949208954,0.13538787927770032,-0.03924486327712048,-0.2759381881112904,0.133234501756468,-0.04201801980312978,-0.258190295193965,1.252237747840843,-1.1530374363678726,0.2595424945683853,-0.07624021297554849,0.09716474130137848,0.1825379014020119,-0.021869691417607487,-0.06062424258018315,-0.02583055391549212,0.02277715193931434,0.020131073303119786,0.035389042086590675,0.011945280915328479,0.03779319971914099,-0.03844856383718058,-0.006077473337885847,0.06597288840981722,-0.28263168331285565,0.19305791692508134,-4.659987071751777,5.035324233406301
43,1.96870651695765,1.61161963701871,1.39343285959211,1.30617393593571,1.91345321771505,2.48743805528809,3.83746967617262,5.37752071025276,8.4944670040097,11.6324927335397,13.528871947546,15.814570128094,18.8415940996883,21.6409201658878,21.3897253403462,19.1149414992818,9.41511211943698,8.30930446308106,6.03615352622032,3.80357095106889,3.02450888264036,1.82844257036961,-0.366102674658203,-1.14241582024888,-1.94261131664125,-2.31140549578837,-2.56706918889829,-3.06907645185403,-2.49007882859449,-2.03534336335316,-1.72816973757335,-1.32340410316833,0.03301316685020495,-0.044003203912972605,-0.014156972434656544,0.005469539422671046,0.02973650695262743,0.11283666293329733,-0.01843929012491218,-0.23390869185911115,-0.07869809787119136,0.28499878166506254,0.03901322994181682,-0.029492109955851335,-0.23576064608703,-1.1507010109276277,2.2558806360520633,-0.8860330518334821,-0.0779769492685027,0.10139999221141034,0.005636198417780675,-0.10733909047967201,-0.0368568071409019,-0.0673862156997687,0.08690033860408827,0.023305886689045083,0.005361667160378357,-0.024185325252080513,-0.10277294156594025,0.14622290351874764,0.014902344785530148,-0.048749780573223676,-0.04194839145467337,0.023871621958036104,-4.032017524958702,4.623821508270647
44,5.58104428622828,4.91731557262707,3.31700548912948,2.07108419567269,1.50923583629498,0.86881253236875,1.0284147123236,1.05569019684748,3.32500210647469,5.37086473768246,7.6104503184026,10.1397712157344,13.8469534744468,15.8094754169482,19.1149414992818,21.5473944291555,16.4823957952762,16.6048183554419,15.0051806663255,12.8556052914135,9.92430518385283,6.60705858474008,4.47208001584108,3.71837696916366,3.12161283071119,2.99992512995857,3.01476805880359,2.0057380959058,1.57886111018455,1.00509189770429,-0.451422892916424,-1.43145159948171,-0.03368320500886502,-0.01343408721819436,0.08677391870151287,0.009200292904145186,-0.024430898378891085,-0.07998817644410836,-0.055695587007641836,0.16842898980828425,0.03343430107362098,0.04256302102118168,-0.09281201256757199,0.039942446842164726,-0.044816246439867174,0.25610834088554446,-0.8873660150769138,0.8981740387732541,-0.04463643258702926,-0.09165663411766867,-0.06683759011049407,0.010450410039550315,0.026373595895751535,-0.009699817653546326,-0.0023148317838410596,0.00860299405556141,0.01248162031206244,0.022935956270647997,-0.016321148964377,-0.0350100174340724,-0.012927351337618008,-0.002634749452820501,0.028555587038542805,0.007411309290608592,-3.577857501975149,4.640839840929174
48,9.01862295439052,7.48112687543686,4.61555860148687,2.06731853983806,0.173528407355744,-1.87649252434504,-2.88019618052168,-4.27147996129051,-3.38029915177565,-3.17321447470584,-1.67068471754953,-0.0915549856186901,2.99572908849854,2.40252522390678,9.41511211943698,16.4823957952762,30.0281578465057,31.2503758737213,30.0832559855216,27.6271026839122,21.8448185263403,15.6328064512739,14.1285479115347,13.6106611051968,13.5230764393181,13.9672568064037,14.5831390134957,12.804052455334,11.0664741673077,9.18110772292175,5.46126564027086,2.71329875681143,-0.02648233989577691,0.11377529548340481,-0.024614277389059542,-0.0023798339369245805,0.0032287369937658793,-0.022647416738157067,0.2616096386851247,-0.033657825025148885,-0.1464261194844933,-0.019429009219802576,-0.07830484003851837,0.09485465540808155,0.14798427520296,-0.058791767636687704,-0.1035542590892332,-0.052414172111360735,1.0314129146894226,-0.8426238414367354,-0.25018366254617325,0.24346137688710281,0.010765022881405665,0.02799301424341888,0.04806322383257968,0.014156506215437719,0.02891602017347238,-0.04852793730167745,-0.21832671711912924,0.13761503421497231,0.01373316426838879,0.12681048595726332,-0.06200383420976004,-0.037008176994298446,-3.80703081232493,5.4788829013317795
49,8.31414228900563,7.13454852238032,4.01210948686087,1.77619444350737,0.185467297372608,-1.61783433890944,-2.62018211198564,-4.67408227398907,-4.14748977782571,-4.08734207008654,-2.5909279193542,-0.864791709606256,2.01751018813567,0.165452010045975,8.30930446308106,16.6048183554419,31.2503758737213,34.65207706674,35.0526777113675,33.7305579442441,27.2492686829337,20.3611185028873,19.0518713259914,18.001218843473,17.5224852392029,17.5150858119672,17.6926068311335,15.3347784256152,13.1221443999326,10.9172723550308,6.41417817786269,3.12097236928771,-0.07893520329051723,0.013411418008854828,-0.05428831406560697,0.012034398155054192,0.02388223191114594,0.11209726113359457,-0.22097388378304963,0.03097931908171535,0.014156781719845458,0.030812024576551793,0.13205617639758083,-0.029125720777157995,-0.23557161446269054,0.09374369983180916,0.10411320650991572,-0.07832683340916356,-0.845777965261356,1.9411917769917637,-1.2196530781743655,0.12393480795292545,0.036108826753941795,-0.02576372498737662,0.0003416877014428282,0.013355458530704654,0.03301191315165769,0.058921154594121894,0.19121979218526938,-0.2861086575064765,-0.0352878119606008,0.1711360308782595,0.13194491060458255,-0.1758891539180934,-2.6452995642701524,5.885752039182417
50,9.89972773702603,9.32704283013475,5.8974839371512,4.0433425982375,2.71603203447835,1.13025669318939,-0.199868334962616,-2.99836007735586,-2.90455768853266,-3.83422519655532,-3.27345558396591,-2.27053698471418,-0.520259513990379,-2.6270678152347,6.03615352622032,15.0051806663255,30.0832559855216,35.0526777113675,41.8926665059733,46.4597113618371,44.0159555305168,41.2582400355864,44.3216268889289,46.899136836895,50.178902355941,53.8041984660008,57.6094594075906,49.0217940945887,40.6744183991253,32.5095442022654,21.6875509261923,11.7403915584777,0.054054218595856386,-0.031950906867301336,-0.026057200375291478,-0.005989902360827912,-0.011883584959343541,-0.054457193942648016,-0.0667924317942265,0.011162289979824429,0.07235396720912672,0.0032660753328926785,0.009009001363916372,-0.026416987051016097,-0.15983450386137438,0.18349952442225279,0.005770159296229854,-0.06297126895084912,-0.2458971482500523,-1.2206183279922107,3.1088896251235654,-1.3401027209324796,-0.29395220996757737,-0.06901079491712027,-0.0389703162024637,0.03207164157275764,0.03047042703191499,0.05504378073414762,0.16742704340495318,0.17076384178770784,-0.1080106501340078,-0.6265746599510986,-0.012486788560756667,0.3749248684937177,-1.5638593215063803,6.471681891593046
51,12.8538468350109,12.9287094885765,9.13986644726491,7.49159333853172,6.24218821746557,4.70576936340318,2.94869784403122,-0.449092724805511,-0.713314621026838,-2.63085945748899,-3.10177895666051,-2.94319396065902,-2.42529357001807,-4.84741627251621,3.80357095106889,12.8556052914135,27.6271026839122,33.7305579442441,46.4597113618371,57.2776030832919,59.0371903895805,60.5722634262369,68.2183605061998,74.7524327013649,81.9127013418856,89.2807267089293,96.8085191741445,81.8862262196223,67.28724576646,53.0326505951688,36.6512066949327,20.8392654543284,0.1465496924909084,-0.22972019478348268,0.01582732940298143,0.050075346542483634,0.007665815855891579,-0.03172751144381147,-0.012311250045569702,0.014471043226245239,0.08225577238935576,-0.07319398057938814,-0.035237491538669063,-0.02928674802773439,0.2548676929376193,-0.017906882122402504,-0.10778223729451404,0.006772589487952627,0.2465482479996762,0.12693080743681043,-1.3455522715826844,1.7253390847413277,-1.023778711807533,0.3285689060329663,0.034951754318257935,-0.010881743765134063,-0.019690429240093843,-0.018954327500662425,-0.10819856424129497,-0.039538758400322886,0.049775811375893195,0.30270876552240994,-0.01947676619950476,-0.153134058551071,-0.6807524120759415,7.56753613029313
52,10.1837089105739,9.29014121816935,6.48457497970038,6.2115051185371,6.19737873034458,5.88405781348643,4.98350324556818,2.43428784672453,2.69177191635557,0.547579801085973,-0.360711909455596,-0.561234469129392,-0.944586820695676,-3.50430745542839,3.02450888264036,9.92430518385283,21.8448185263403,27.2492686829337,44.0159555305168,59.0371903895805,69.6059928012499,79.8638155496825,92.8685712094748,103.965684848693,115.598753550788,127.345491333059,139.248589866131,118.170629704332,97.9028985562454,78.1187129360545,56.6603692302994,35.4739031936205,-0.061675729463112824,0.053285313529474854,0.07499154938250804,0.013178032302259024,-0.006233040909823601,-0.02712473096935365,0.007548859845592243,0.00853111687271179,0.02556299834121416,-0.01635625494698905,-0.019503751572938925,0.018181450197622313,0.04877597335223189,-0.06709281462662758,-0.03616277957373679,0.027494620334380344,0.013665684717457365,0.03538691529643834,-0.30442224123351747,-1.0169561441993848,2.4586421176713817,-0.871363399272699,-0.13844917444746896,-0.08590612140018136,-0.05503743558303975,-0.02422831393466421,-0.03299712745866367,0.006874467065380003,0.052784350962949755,0.04354523882354856,-0.009286234013514204,-0.02574892050426591,-0.26431216931216933,8.342421279295952
57,8.31694938078828,6.53616238992781,4.782746187303,5.86167356886832,7.01004888351481,7.84529092092476,7.73787413905026,5.98266392079696,6.68367992073868,4.16517928994155,2.63304779326064,1.8999543082251,0.438663109050616,-2.5472370940655,1.82844257036961,6.60705858474008,15.6328064512739,20.3611185028873,41.2582400355864,60.5722634262369,79.8638155496825,99.3194001364381,117.792540667067,133.601768922182,149.858089314098,166.118402174176,182.527162507284,155.294910487901,129.234417252721,103.802230027868,77.1323765233216,50.4586681803662,-0.02195622625335795,0.11491862863532594,0.03818445981441911,-0.09847399119379181,-0.07068991616235434,-0.012226659848183,0.11355925749753393,-0.01822765998588542,-0.017241321474595582,-0.022392653896980818,-0.10886604505603897,0.1359301549626718,0.009237527584427606,-0.028788151781551027,-0.05840348989622547,-0.009339745566919163,0.015715211857173252,-0.034166230351976544,-0.06430615239223983,0.33551870851888754,-0.8700568523838286,1.535448137554076,-0.6266746177532214,-0.22259044122703345,-0.09082344455159222,0.007443639237026136,0.15648453819864214,-0.08477120170971847,0.09708274442169049,-0.07849974001124704,-0.015289823527017148,0.05542693963916875,0.03644179894179895,9.965410184053546
