,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_33,Cov_37,Cov_38,Cov_43,Cov_44,Cov_45,Cov_50,Cov_51,Cov_52,Cov_53,Cov_55,Cov_58,Cov_59,Cov_60,Cov_62,Cov_65,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_1,C_2,C_3,C_4,C_5,C_6,C_33,C_37,C_38,C_43,C_44,C_45,C_50,C_51,C_52,C_53,C_55,C_58,C_59,C_60,C_62,C_65,C_67,C_68,C_69,C_70,C_71,Mean,Std
44,0.28918202033124,0.546956202175393,0.710771431971738,1.0433946344856,1.1892244116145,1.00599898647395,0.92580488964725,1.61211603967045,2.3142422151609,2.83181677502406,3.25164623243934,1.727055215358,0.0868206718396956,-0.649878214027708,-1.20781492919934,-1.7854417024682,-2.48406475467849,-1.95843083810213,-1.36931976770394,-0.902389447412963,-0.374971682777712,0.192467570509796,0.656346885850695,1.06254743731266,0.930813067009871,0.891743287745425,0.719291594123199,-0.05610179197806362,-0.04744254347927374,-0.1760187641028905,0.43289736605237683,-0.12927668355246558,0.035393550116111325,0.2081416013808143,-0.06917500944514188,-0.2855090796329643,-1.0254067588390052,2.2485121716179832,-1.4422496961535005,0.4508273117451883,0.17540041594883235,0.03184117582383194,-0.0692766708547553,0.061246122030688056,-0.042798686590439484,0.020893316928792233,-0.0001172109439064042,-0.016991064139103597,-0.04248316771117449,-0.07362955976534342,-0.07759251888482167,-0.021429886244443277,0.0124868337315635,-0.043347238586744864,-2.4211111111111108,1.8004572287170102
45,1.45622715487449,1.85561171676322,1.47772760252191,1.21660930736787,1.02810474266672,0.475708844041872,0.021514773165775,0.454495015379223,0.886498928243286,1.26124431536693,1.727055215358,10.1342940613027,18.4304360663773,25.9981491299513,33.7145963869073,41.4083620949489,49.0127249405327,24.6649960060142,0.305103851763428,-0.484169668527484,-1.17503239906798,-1.81021163126498,-2.43900439600882,-1.53158382428601,-0.491785757390431,0.619404048482778,1.66980940231521,0.043437970311090465,-0.0035080683893653317,-0.007881162368353121,0.10828847307187328,-0.09468424752959839,-0.0011417532664976416,0.04763865915358103,-0.035984759718308036,-0.0984561358079519,-0.2578379133770091,-1.4423052635646467,3.686289391547176,-1.3431576353063155,-0.34451291173851767,-0.14795204067754972,-0.029279752648847936,0.09728883936131441,0.036701266701375475,0.013678260211279625,0.009397468406369455,0.020588763505218308,-0.00808705745511109,-0.0185009078258748,-0.019685726209391585,-0.012248102178718634,-0.012816236414825214,-0.043234316397235406,-1.2883333333333336,3.1818695858414245
50,2.86027904095312,3.41544436651883,2.40758120580898,1.45666067374934,0.858465694686912,-0.117334447785507,-1.01454928588574,-0.844152181257173,-0.690122867836631,-0.453989456993044,0.0868206718396956,18.4304360663773,36.9129067688378,52.8073342261591,68.8308993674773,84.8262922057788,100.762304906102,51.4529851082555,2.07007938730932,0.0133039180116879,-1.90624239070499,-3.76191321983829,-5.49297618908209,-4.08746183289415,-1.89010998189387,0.343955363649354,2.60598817281561,0.024821202080911785,-0.020019459437700733,0.018218083513971906,0.010148126845736414,-0.031680462811812075,-0.0024937602150004456,0.03820062643568163,0.03438556465045749,0.06938143688678108,0.11058938299177629,0.4469225609995736,-1.34546044883214,2.3230742591481977,-1.4074603799439287,-0.44685907194053304,0.04294699409954075,0.343799128153076,0.15917276863500687,-0.0018009856594771354,0.008444938120495302,0.012721803617738527,0.008641101565580109,-0.010162175488489458,-0.003103820032791933,-0.006847988014827409,-0.02108196854346268,-0.0030497024135139454,-0.20888888888888904,6.074776273150954
51,4.47161755756635,5.14888194172018,3.93088814753045,2.46362421537723,1.30736023188958,-0.207423671286388,-1.64461691997713,-1.50305624601811,-1.37994170870595,-1.14792001724097,-0.649878214027708,25.9981491299513,52.8073342261591,78.0958687739464,103.371622905616,128.62300503578,153.853489131713,79.4735507509867,4.64048329371157,1.30115846175707,-1.92618423705489,-5.07356905358012,-8.08452687600311,-6.32155508409566,-3.22692457236668,-0.0879040886896889,3.37085992277684,-0.0031077234973882675,-0.04332026635940696,0.03573971133197112,0.022681378925009613,0.045479886327845484,-0.010281316027584548,-0.09951905878710958,-0.012080260218807468,0.021821730392874876,0.05131392432069108,0.17355740651010046,-0.34069291832340837,-1.4127284874802983,3.644151116319869,-1.6601094964602914,-0.31974961820136377,0.12382743208332758,-0.007474888310191742,-0.04693233159996047,-0.00011001673514150613,0.009557342464569164,0.014647352541474958,0.019958850228363217,0.044645621624344954,0.007559968302791508,-0.008969258907815185,0.0024768584844912754,0.3933333333333334,8.836620891152137
52,6.11861874466161,6.91793123025499,5.44716952389311,3.46116191572888,1.72388198589972,-0.435645390486892,-2.51927449868083,-2.30460727309552,-2.10861551458491,-1.76373155315509,-1.20781492919934,33.7145963869073,68.8308993674773,103.371622905616,138.029776500639,172.579844124704,207.158131183296,107.597289493104,7.23327100589828,2.69089406779323,-1.7707057471566,-6.1475933000053,-10.3900708358658,-8.21303491348583,-4.2413572680612,-0.211282112584849,4.41009402999926,-0.00791421316663849,-0.06663035207196884,-0.0001248072394877043,0.004542432652439366,0.010926993066786295,-0.00021474470549660352,-0.015986687128922282,-0.0019520390598633333,0.007045442690851061,0.014451129926273388,0.03238210277742959,-0.13482295497986005,-0.43850455605097405,-1.6957797618103236,4.481979465183974,-1.5740579721267005,-0.5413013465274036,-0.1397881117451085,0.030148056757639704,0.016590879862534054,0.015504619833954349,0.014336039044095535,0.020803111445080767,0.011177955788531726,0.002207904364291875,-0.002854016834468629,-0.011190908350168378,0.9111111111111109,11.74818183808195
53,7.67404438267854,8.56450121996518,6.86226224639359,4.37971225684522,2.08658547667893,-0.689655542073126,-3.38931501576412,-3.10775312335471,-2.84534747390144,-2.39477922351009,-1.7854417024682,41.4083620949489,84.8262922057788,128.62300503578,172.579844124704,216.503423052363,260.414971876071,135.703961635734,9.83283455390136,4.08095156045931,-1.62320807960046,-7.23653053097752,-12.7192902053592,-10.1386297250277,-5.28653829578639,-0.359781230293474,5.4237212959427,-0.04761339687873821,-0.014780386879635232,-0.006751099776578984,-0.00899715841294476,0.0029272456131043613,0.01172091370460429,0.024601550887737567,0.002546671021011303,-0.008523949030364448,-0.02717916527502681,-0.07694729767413719,-0.02804952275727556,0.04580634132416896,-0.33629099470090024,-1.629767633950907,3.679063399252854,-1.6561111852964,-0.3723834227863294,0.12793538555583395,0.03765774244625972,0.02544860390211229,0.014452272805155455,0.06440302826148014,0.017470713826046428,0.0027724435026221447,0.005158732062929053,-0.01490150650839143,1.4455555555555557,14.713715474086166
55,9.01650386922782,9.94619374503158,8.02386867179099,5.07288377347535,2.26446401846523,-1.09140255931547,-4.36600379687148,-4.03407404328782,-3.72165380337628,-3.16055603142888,-2.48406475467849,49.0127249405327,100.762304906102,153.853489131713,207.158131183296,260.414971876071,313.858715197957,163.979224040179,12.6042547073712,5.65956467306032,-1.28183271067623,-8.13117299307488,-14.8673562365828,-11.8931333394588,-6.18613024867236,-0.380081391469118,6.52891553573588,0.027104737665219206,0.05405402646992498,-0.003862038107447858,-0.03247779791426357,-0.00022854723356884315,0.01104255738944441,0.027013818483385302,0.004800535841074252,-0.007812314222060202,-0.0178110907607695,0.05464737661242365,0.1027850040728241,0.3536685862231615,0.14032304430651954,-0.529465597138636,-1.6517440585355248,2.041091042635451,-0.9298036089050111,0.3811886329320227,0.07097489498558122,0.030764484798165747,0.0014121602215329875,-0.014123938051382316,-0.16754592176946448,-0.023494947311242548,0.05486483025473399,0.00995108003665388,1.9177777777777776,17.715775884729315
58,4.44422519334905,4.72561207225323,3.70740044564402,1.82592535990657,0.341752420621388,-1.46407191300122,-3.27767166518516,-3.15445858640354,-3.02414106957443,-2.66478718517637,-1.95843083810213,24.6649960060142,51.4529851082555,79.4735507509867,107.597289493104,135.703961635734,163.979224040179,88.056756385696,10.6346012228215,6.60998302747056,2.36016795084309,-1.89731592471521,-6.22934278933636,-5.57502385696991,-2.79818305263392,0.0501661755488978,3.7911557347322,-0.010440708119726784,0.04827535359516849,-0.03294324716766031,0.0015036755761539788,-0.009555645304451603,-0.008948774635681398,0.00022649315330785215,0.0009108520741750988,-0.002921587420118626,0.012418070371954297,-0.03023411679625274,0.034740003156451496,0.13094319305343802,-0.006106049687946694,-0.13754726450527355,-0.3519111900648061,-0.930570979871915,2.586617439887868,-1.0452174673255732,-0.26563970244307755,-0.13499154772758398,-0.031547073059598876,0.07116416672052012,0.20485044626646884,0.031773796902102865,-0.10558386139750917,0.0026157352602546565,0.2788888888888889,9.383323312435529
59,-0.0043392322944363,-0.353521463217138,-0.602626945480136,-1.41808649121513,-1.60393393919014,-1.88910741393399,-2.27162033172209,-2.32126861353334,-2.33938997501497,-2.13079189571474,-1.36931976770394,0.305103851763428,2.07007938730932,4.64048329371157,7.23327100589828,9.83283455390136,12.6042547073712,10.6346012228215,7.80546615581098,6.90767442729771,5.60279216448117,4.18995107038432,2.53291707514648,1.11447049785617,0.878160913310723,0.678029341544711,1.10997133144446,-0.1056499153847284,0.03474120875136981,-0.006098774814820729,0.06718729375927626,-0.009065759687541874,-0.05733531790376823,-0.019842923362126223,0.007007744202191252,0.033327523523076136,0.1239340726365697,0.019635188525332706,0.011838416661294105,-0.00030991159020578004,-0.012139588718495574,0.03269681731655595,0.0972474771159434,0.3840446648037905,-1.0493695081189498,2.3921777409836937,-1.2948772361758245,-0.4812852382715523,-0.09481712971180424,0.01033455350949876,0.29254460163520196,0.0949352783882139,0.0324427354755832,-0.018425553889376237,-1.1611111111111112,2.792036202453503
60,-0.203824786211185,-0.53220748265571,-0.860331463401138,-1.56300529121515,-1.71857343449342,-2.05975613487398,-2.47513474158388,-2.35226458839818,-2.1925842270331,-1.78655099145781,-0.902389447412963,-0.484169668527484,0.0133039180116879,1.30115846175707,2.69089406779323,4.08095156045931,5.65956467306032,6.60998302747056,6.90767442729771,6.57420808409571,5.70145052704412,4.7156312183994,3.45396640864806,2.2378942551327,1.79289981143802,1.40292920141832,1.51634714654958,0.12792487426051458,-0.06317476105241589,-0.025093495925924598,0.009636756365584392,0.007490253926479103,0.010829976273897007,0.009266843642044479,0.014424453490467474,0.014999979599694933,0.01679890065586916,-0.0009396345866109282,0.0039760092520520944,0.005539198647519869,0.005728913055706382,0.017589983906413895,0.03346851760698457,0.07013738540002741,-0.26744080225969263,-1.2929510305888554,3.3913216497084027,-1.588483851052607,-0.3478970152515951,-0.13242722079027489,0.13476009856516066,0.11656721634830094,0.03588671237499615,-0.017324136490270144,-1.0327380952380951,2.5620710536781974
62,-0.203313117724032,-0.546242841039625,-1.00397638260869,-1.58858975456218,-1.71094277562543,-2.09995768922265,-2.54003451457375,-2.25570779535098,-1.93185165977749,-1.35481972077708,-0.374971682777712,-1.17503239906798,-1.90624239070499,-1.92618423705489,-1.7707057471566,-1.62320807960046,-1.28183271067623,2.36016795084309,5.60279216448117,5.70145052704412,5.44074895743738,4.96698420970573,4.21545761784772,3.3252618567253,2.74030950455995,2.2140768152331,1.98043122365472,0.028095548800810156,-0.006038951770151102,-0.04529449120149716,-0.00585418418894942,0.01664553117436008,0.07132922368928156,0.033470627677638885,0.032219009890292014,0.011360658353854929,-0.01807451064662116,-0.018309690441384703,0.001797635257543671,0.006238506849150694,0.011063262935262103,0.01623219530338561,0.02527028401661749,0.031470640258142606,-0.13068532501792932,-0.4810644949549747,-1.5882079339753075,4.275204906179745,-1.3915682089967703,-0.5396500615331248,-0.04884432958945802,-0.03441646819642386,0.01304381684409972,-0.051103379350451394,-0.9843650793650796,2.330396738205188
65,-0.24404198828469,-0.588602626410918,-1.12166068347353,-1.55272381232736,-1.61619737334177,-2.01157330541681,-2.43471166588218,-2.01086817995228,-1.54749149542207,-0.836761089693852,0.192467570509796,-1.81021163126498,-3.76191321983829,-5.07356905358012,-6.1475933000053,-7.23653053097752,-8.13117299307488,-1.89731592471521,4.18995107038432,4.7156312183994,4.96698420970573,5.09132595583309,4.83146343375704,4.27044974432948,3.53352025627522,2.8614531501473,2.27346593117923,0.01258197423117604,0.054582262149609456,-0.013719777246592216,-0.0022560548932760785,0.01333400149557242,0.027152729760854647,0.028485859172860357,0.016879354683133268,0.0020662408698248385,-0.051375477068816414,-0.03760104124911954,-0.011308197035255659,0.0038264564902702183,0.015185787884369705,0.016024207646227154,0.0211872211246079,-0.00422940115171195,-0.03102825494932751,-0.09631598687692303,-0.34786374908939266,-1.395435080252276,3.7319983902015887,-1.4510592564339724,-0.30339678333782744,-0.13666481067826214,0.061892597499498374,0.016307673530698185,-0.9908940242763772,2.254179663610043
67,-0.074651210082694,-0.359198726038948,-1.01968359610016,-1.34175949409681,-1.39089350197486,-1.81595960957247,-2.25295113803745,-1.73158989174196,-1.17320440282621,-0.377041881703352,0.656346885850695,-2.43900439600882,-5.49297618908209,-8.08452687600311,-10.3900708358658,-12.7192902053592,-14.8673562365828,-6.22934278933636,2.53291707514648,3.45396640864806,4.21545761784772,4.83146343375704,5.21019139176969,5.0322250477379,4.21549978315769,3.45782338633217,2.54949452998271,-0.012748810243377947,-0.004831208929190932,-0.03258651959099247,0.000787837296718216,0.022751338723616378,0.02334166992972639,0.02596098206237128,0.018482615043847867,0.014066681734500298,-0.0222134181647959,-0.06866846871895056,-0.021004368886925175,-0.02067605822737317,0.0198989000923337,0.02415255713357389,0.07633279880169469,-0.010933799159254394,0.07494994758120373,0.009567192050752453,-0.12986737362912243,-0.536903301105118,-1.4517903338695357,4.429904376321729,-1.7483879813827437,-0.5090730789828404,-0.0015495788808668187,0.058170339300972554,-1.064089635854342,2.2803928152337463
